prod_id,prod_name,prod_desc,cat_id,cat_name,subcat_id,subcat_name,unit_cost,unit_price,supp_id,prod_status,launch_date,disc_date,inv_min_lvl,prod_weight,prod_dim,gm_pct
PROD00111,Heavy-duty Webcam L425,"Heavy-duty Webcam L425: Voice control, Energy efficient, Compact design",CAT002,Peripherals,SCAT008,Scanners,720.98,1084.19,SUPP0016,Discontinued,2022-02-24,2023-07-20,45,1.62,29 x 19 x 94 cm,33.5
PROD00112,Elite Desktop V627,"Elite Desktop V627: 4K resolution, Biometric security, Compact design, Water resistant",CAT003,Accessories,SCAT012,Power Solutions,419.22,652.01,SUPP0036,Upcoming,2024-11-08,,18,10.55,43 x 87 x 47 cm,35.7
PROD00113,Deluxe Projector V328,"Deluxe Projector V328: Noise cancelling, Compact design",CAT006,Enterprise Solutions,SCAT023,Backup Systems,716.23,957.66,SUPP0031,Active,2024-04-15,,31,15.48,68 x 45 x 81 cm,25.21
PROD00114,Ultra Laptop B155,"Ultra Laptop B155: Biometric security, Compact design, AI-powered, Wireless connectivity, 4K resolution",CAT004,Networking,SCAT017,Network Security,445.78,691.37,SUPP0026,Upcoming,2024-01-11,,28,18.07,66 x 76 x 63 cm,35.52
PROD00115,All-in-one Workstation H573,"All-in-one Workstation H573: AI-powered, Shock proof, Noise cancelling, High performance",CAT003,Accessories,SCAT010,Cables & Adapters,380.03,614.97,SUPP0024,Upcoming,2024-01-09,,25,17.21,60 x 41 x 99 cm,38.2
PROD00116,Digital Headphones Y808,"Digital Headphones Y808: Cloud storage, Bluetooth enabled, Water resistant",CAT001,Computing Devices,SCAT005,Servers,726.63,951.0,SUPP0050,Discontinued,2024-12-06,2025-03-23,48,7.84,2 x 73 x 6 cm,23.59
PROD00117,Deluxe Software License R631,"Deluxe Software License R631: Wireless connectivity, Voice control, Bluetooth enabled, Noise cancelling",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,410.25,608.05,SUPP0014,Upcoming,2023-01-10,,28,4.04,81 x 88 x 65 cm,32.53
PROD00118,All-in-one Memory Card Z901,"All-in-one Memory Card Z901: AI-powered, Biometric security, Touch screen, Compact design, High performance",CAT004,Networking,SCAT015,Switches,517.95,731.95,SUPP0045,Discontinued,2022-05-26,2023-01-13,36,7.54,53 x 47 x 53 cm,29.24
PROD00119,Smart Speaker R228,"Smart Speaker R228: Noise cancelling, Wireless connectivity, Compact design",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,514.23,675.38,SUPP0017,Discontinued,2024-01-01,2024-04-22,37,15.33,71 x 58 x 35 cm,23.86
PROD00120,Smart Monitor X949,"Smart Monitor X949: 4K resolution, Water resistant, Energy efficient",CAT006,Enterprise Solutions,SCAT023,Backup Systems,120.92,184.38,SUPP0009,Active,2023-06-09,,25,15.81,29 x 94 x 12 cm,34.42
PROD00121,Ultra Camera Y538,"Ultra Camera Y538: Fast charging, 4K resolution, High performance, Compact design, Extended battery life",CAT005,Software,SCAT018,Operating Systems,717.72,998.01,SUPP0039,Active,2022-11-08,,19,19.99,30 x 80 x 20 cm,28.08
PROD00122,Ergonomic Power Bank L325,"Ergonomic Power Bank L325: Biometric security, Touch screen, Fast charging",CAT005,Software,SCAT018,Operating Systems,390.51,577.08,SUPP0012,Discontinued,2022-07-16,2024-06-14,50,11.77,48 x 52 x 26 cm,32.33
PROD00123,Heavy-duty Desktop V396,"Heavy-duty Desktop V396: Voice control, Energy efficient, Bluetooth enabled, Water resistant, High performance",CAT002,Peripherals,SCAT009,Input Devices,930.16,1240.85,SUPP0046,Discontinued,2023-09-21,2024-12-26,8,12.67,31 x 12 x 24 cm,25.04
PROD00124,Professional Server C244,"Professional Server C244: Energy efficient, Biometric security, 4K resolution, Fast charging",CAT002,Peripherals,SCAT009,Input Devices,535.64,745.48,SUPP0033,Discontinued,2023-06-30,2025-03-16,19,6.81,10 x 80 x 3 cm,28.15
PROD00125,Ergonomic Monitor Z263,,CAT003,Accessories,SCAT011,Cases & Bags,817.32,1257.89,SUPP0024,Active,2024-01-30,,30,7.31,,35.02
PROD00126,Wireless Monitor F743,"Wireless Monitor F743: Noise cancelling, Voice control, Energy efficient, Wireless connectivity, 4K resolution",CAT005,Software,SCAT021,Design Software,236.97,338.68,SUPP0009,Discontinued,2023-11-07,2025-03-25,18,16.61,78 x 30 x 7 cm,30.03
PROD00127,High-performance Storage Drive U895,"High-performance Storage Drive U895: Fast charging, Cloud storage, Biometric security",CAT001,Computing Devices,SCAT005,Servers,598.65,1002.51,SUPP0030,Discontinued,2023-06-15,2024-08-26,28,9.71,66 x 37 x 56 cm,40.28
PROD00128,Premium Tablet Z959,"Premium Tablet Z959: Fast charging, 4K resolution, Wireless connectivity, Cloud storage, Compact design",CAT001,Computing Devices,SCAT003,Tablets,204.25,334.14,SUPP0003,Upcoming,2022-08-11,,14,14.68,51 x 9 x 75 cm,38.87
PROD00129,Heavy-duty Monitor G437,"Heavy-duty Monitor G437: Biometric security, Fast charging",CAT006,Enterprise Solutions,SCAT023,Backup Systems,344.51,449.85,SUPP0037,Limited Stock,2022-04-30,,35,13.11,92 x 75 x 39 cm,23.42
PROD00130,All-in-one Server F127,"All-in-one Server F127: Fast charging, Energy efficient, Noise cancelling, Shock proof",CAT004,Networking,SCAT016,Network Adapters,335.65,546.98,SUPP0031,Active,2023-05-21,,35,17.55,50 x 14 x 18 cm,38.64
PROD00131,Standard Camera F798,"Standard Camera F798: Voice control, Energy efficient, Touch screen, High performance",CAT001,Computing Devices,SCAT005,Servers,20.3,31.91,SUPP0040,Upcoming,2024-03-01,,28,16.21,94 x 70 x 12 cm,36.38
PROD00132,All-in-one Printer W585,"All-in-one Printer W585: AI-powered, Touch screen, Extended battery life, Energy efficient",CAT004,Networking,SCAT015,Switches,703.89,1182.22,SUPP0045,Upcoming,2023-09-27,,44,5.88,98 x 95 x 39 cm,40.46
PROD00133,Essential Workstation A663,"Essential Workstation A663: Voice control, Shock proof",CAT002,Peripherals,SCAT009,Input Devices,698.98,1164.17,SUPP0043,Active,2024-10-05,,20,18.44,,39.96
PROD00134,Basic Scanner I409,,CAT006,Enterprise Solutions,SCAT023,Backup Systems,727.6,1088.63,SUPP0036,Active,2023-05-28,,10,17.48,5x67x33,33.16
PROD00135,Essential Printer W145,"Essential Printer W145: Energy efficient, 4K resolution, Water resistant, AI-powered, Cloud storage",CAT001,Computing Devices,SCAT003,Tablets,566.34,876.08,SUPP0020,Active,2022-11-15,,41,14.18,91 x 10 x 44 cm,35.36
PROD00136,Eco-friendly Memory Card Y354,"Eco-friendly Memory Card Y354: Compact design, Touch screen, Water resistant, Noise cancelling, Bluetooth enabled",CAT004,Networking,SCAT017,Network Security,263.22,429.73,SUPP0031,Active,2023-01-28,,50,3.97,46 x 75 x 45 cm,38.75
PROD00137,Deluxe Smartphone D367,"Deluxe Smartphone D367: Biometric security, Fast charging",CAT003,Accessories,SCAT010,Cables & Adapters,59.31,83.25,SUPP0026,Discontinued,2022-03-30,2024-07-23,35,19.34,87 x 35 x 95 cm,28.76
PROD00138,Ultra Headphones G508,"Ultra Headphones G508: Bluetooth enabled, Extended battery life",CAT001,Computing Devices,SCAT005,Servers,765.01,1147.97,SUPP0043,Limited Stock,2023-05-27,,9,3.35,24 x 62 x 46 cm,33.36
PROD00139,Deluxe Adapter F387,"Deluxe Adapter F387: Biometric security, 4K resolution",CAT001,Computing Devices,SCAT005,Servers,827.61,780.5724564362636,SUPP0008,Active,2023-09-07,,27,6.9,90 x 28 x 2 cm,30.57
PROD00140,Eco-friendly Docking Station T686,"Eco-friendly Docking Station T686: Bluetooth enabled, Touch screen, Shock proof, Water resistant, Compact design",CAT003,Accessories,SCAT011,Cases & Bags,628.53,529.6333593802085,SUPP0030,Active,2024-06-22,,19,8.0,86 x 83 x 98 cm,31.07
PROD00141,Deluxe Docking Station B348,"Deluxe Docking Station B348: Bluetooth enabled, Energy efficient, Compact design, AI-powered",CAT005,Software,SCAT021,Design Software,615.09,1028.99,SUPP0015,Active,2022-06-26,,22,3.34,86 x 67 x 27 cm,40.22
PROD00142,Digital Laptop S704,"Digital Laptop S704: Bluetooth enabled, AI-powered, Energy efficient, 4K resolution",CAT003,Accessories,SCAT010,Cables & Adapters,340.16,239.83436755594315,SUPP0008,Upcoming,2023-07-09,,6,5.93,32 x 100 x 89 cm,40.97
PROD00143,Heavy-duty Laptop E301,"Heavy-duty Laptop E301: Voice control, Energy efficient, Water resistant, Extended battery life",CAT004,Networking,SCAT017,Network Security,960.29,1430.55,SUPP0041,Upcoming,2022-05-03,,9,8.13,85 x 11 x 47 cm,
PROD00144,Wireless Projector O393,"Wireless Projector O393: AI-powered, Noise cancelling",CAT005,Software,SCAT019,Office Applications,361.41,479.78,SUPP0034,Upcoming,2023-01-03,,10,9.0,51 x 44 x 4 cm,24.67
PROD00145,Professional Memory Card P479,"Professional Memory Card P479: Voice control, Bluetooth enabled, AI-powered, 4K resolution",CAT004,Networking,SCAT014,Routers,676.8,905.3,SUPP0040,Active,2023-09-01,,43,3.44,43 x 59 x 12 cm,25.24
PROD00146,Ergonomic Laptop S524,"Ergonomic Laptop S524: Bluetooth enabled, AI-powered, Compact design, Shock proof",CAT004,Networking,SCAT017,Network Security,194.81,265.17,SUPP0048,Discontinued,2022-10-13,2023-10-14,48,14.05,59 x 37 x 27 cm,26.53
PROD00147,Premium Docking Station S586,"Premium Docking Station S586: 4K resolution, Noise cancelling, Fast charging",CAT005,Software,SCAT020,Security Software,559.15,877.84,SUPP0015,Limited Stock,2023-06-19,,14,3.42,89 x 50 x 66 cm,36.3
PROD00148,Smart Storage Drive Y564,"Smart Storage Drive Y564: Extended battery life, AI-powered, Cloud storage, Bluetooth enabled",CAT005,Software,SCAT021,Design Software,534.6,417.9701766100344,SUPP0038,Upcoming,2023-03-26,,19,13.24,51 x 30 x 6 cm,23.61
PROD00149,Heavy-duty Server N800,"Heavy-duty Server N800: Bluetooth enabled, Noise cancelling, Voice control",CAT002,Peripherals,SCAT007,Printers,471.37,780.31,SUPP0016,Discontinued,2023-10-04,2024-09-12,17,15.47,99 x 100 x 70 cm,39.59
PROD00150,Eco-friendly Smartphone Y464,"Eco-friendly Smartphone Y464: Wireless connectivity, AI-powered, Energy efficient",CAT003,Accessories,SCAT010,Cables & Adapters,541.44,499.2038112229846,SUPP0038,Limited Stock,2022-10-07,,39,7.74,,
PROD00151,Professional Docking Station D456,"Professional Docking Station D456: Biometric security, Cloud storage, Wireless connectivity, Voice control",CAT003,Accessories,SCAT013,Audio Accessories,107.01,151.88,SUPP0044,Active,2024-01-02,,30,2.2,27x38x88,29.54
PROD00152,Heavy-duty Cable E156,"Heavy-duty Cable E156: 4K resolution, Energy efficient, Cloud storage, Voice control",CAT002,Peripherals,SCAT008,Scanners,127.08,172.17,SUPP0014,Discontinued,2023-05-21,2024-11-04,7,12.91,9 x 83 x 95 cm,26.19
PROD00153,Premium Scanner G515,"Premium Scanner G515: High performance, 4K resolution, Water resistant, Biometric security, Voice control",CAT004,Networking,SCAT014,Routers,561.5,786.82,SUPP0035,Upcoming,2022-11-09,,49,13.83,3 x 78 x 40 cm,28.64
PROD00154,Advanced Tablet X855,,CAT003,Accessories,SCAT011,Cases & Bags,115.63,180.36,SUPP0001,Upcoming,2023-07-13,,15,9.03,96 x 98 x 17 cm,
PROD00155,Wireless Webcam Q265,,CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,765.12,1230.12,SUPP0043,Upcoming,2022-12-26,,34,11.14,73 x 34 x 41 cm,37.8
PROD00156,All-in-one Monitor Q706,"All-in-one Monitor Q706: Touch screen, High performance, Biometric security, Noise cancelling",CAT005,Software,SCAT020,Security Software,709.6,1013.39,SUPP0048,Active,2023-09-02,,9,4.97,16 x 64 x 33 cm,29.98
PROD00157,Essential Headphones G867,"Essential Headphones G867: AI-powered, Fast charging, Bluetooth enabled, Extended battery life, Touch screen",CAT002,Peripherals,SCAT008,Scanners,271.76,428.28,SUPP0044,Discontinued,2022-04-05,2023-05-06,48,11.43,93 x 38 x 12 cm,36.55
PROD00158,Heavy-duty Printer F653,"Heavy-duty Printer F653: Voice control, Shock proof, Wireless connectivity, Fast charging",CAT003,Accessories,SCAT012,Power Solutions,304.66,479.88,SUPP0003,Active,2022-01-26,,35,18.1,55 x 73 x 80 cm,36.51
PROD00159,Heavy-duty Cable K419,"Heavy-duty Cable K419: Bluetooth enabled, Shock proof, AI-powered, Touch screen, Biometric security",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,416.05,653.97,SUPP0043,Limited Stock,2024-01-01,,49,11.3,26 x 28 x 51 cm,36.38
PROD00160,Professional Desktop D251,"Professional Desktop D251: Bluetooth enabled, 4K resolution, AI-powered, High performance, Fast charging",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,55.27,86.43,SUPP0028,Limited Stock,2022-10-25,,49,10.62,43 x 4 x 8 cm,36.05
PROD00161,Ergonomic Workstation W654,"Ergonomic Workstation W654: High performance, Bluetooth enabled, Cloud storage, Fast charging",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,90.23,153.16,SUPP0024,Active,2024-12-08,,48,7.44,87 x 42 x 2 cm,41.09
PROD00162,All-in-one Microphone X945,"All-in-one Microphone X945: Touch screen, Energy efficient",CAT003,Accessories,SCAT012,Power Solutions,670.02,1050.55,SUPP0032,Limited Stock,2022-07-26,,46,15.22,63 x 11 x 61 cm,36.22
PROD00163,Wireless Workstation D280,"Wireless Workstation D280: Extended battery life, Noise cancelling, Fast charging",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,662.07,954.16,SUPP0009,Discontinued,2024-10-09,2025-01-07,10,14.33,90 x 34 x 87 cm,30.61
PROD00164,Lightweight Microphone P258,"Lightweight Microphone P258: Cloud storage, Bluetooth enabled, Compact design, Touch screen",CAT005,Software,SCAT019,Office Applications,370.2,570.94,SUPP0038,Active,2022-05-20,,17,11.98,40 x 96 x 97 cm,35.16
PROD00165,Advanced Server G454,"Advanced Server G454: Shock proof, Extended battery life, Bluetooth enabled, Energy efficient",CAT006,Enterprise Solutions,SCAT023,Backup Systems,235.16,398.1,SUPP0021,Limited Stock,2023-09-13,,8,3.58,3x68x63,40.93
PROD00166,Deluxe Software License C654,"Deluxe Software License C654: Wireless connectivity, Energy efficient",CAT005,Software,SCAT020,Security Software,415.03,604.83,SUPP0010,Discontinued,2023-11-15,2024-10-12,18,16.9,56 x 53 x 30 cm,31.38
PROD00167,Wireless Tablet T769,"Wireless Tablet T769: Shock proof, Energy efficient, Extended battery life, Voice control, Bluetooth enabled",CAT001,Computing Devices,SCAT004,Smartphones,481.27,783.17,SUPP0040,Upcoming,2023-05-08,,10,5.43,31 x 21 x 79 cm,38.55
PROD00168,Basic Router F276,"Basic Router F276: Fast charging, Cloud storage, High performance",CAT002,Peripherals,SCAT009,Input Devices,973.66,1276.08,SUPP0026,Discontinued,2022-12-27,2023-12-26,37,16.76,92 x 61 x 48 cm,23.7
PROD00169,Smart Keyboard D306,"Smart Keyboard D306: Voice control, 4K resolution, Shock proof, Extended battery life",CAT002,Peripherals,SCAT008,Scanners,479.89,658.19,SUPP0013,Limited Stock,2022-01-04,,8,8.36,88 x 49 x 51 cm,27.09
PROD00170,Standard Server E872,"Standard Server E872: 4K resolution, Energy efficient, Shock proof",CAT001,Computing Devices,SCAT002,Desktops,675.72,1117.79,SUPP0006,Limited Stock,2024-11-22,,29,0.76,67 x 79 x 44 cm,39.55
PROD00171,Deluxe Speaker K850,"Deluxe Speaker K850: High performance, Compact design, Bluetooth enabled, Extended battery life",CAT003,Accessories,SCAT011,Cases & Bags,517.73,736.84,SUPP0013,Limited Stock,2024-05-30,,5,3.26,86 x 56 x 70 cm,29.74
PROD00172,Ergonomic Projector U433,"Ergonomic Projector U433: Shock proof, High performance",CAT005,Software,SCAT021,Design Software,619.32,937.32,SUPP0013,Limited Stock,2024-12-09,,45,17.64,36 x 83 x 24 cm,33.93
PROD00173,Ergonomic Server K721,"Ergonomic Server K721: High performance, 4K resolution, Touch screen, Bluetooth enabled",CAT003,Accessories,SCAT010,Cables & Adapters,451.45,661.85,SUPP0046,Discontinued,2022-08-13,2023-07-05,19,11.76,96 x 47 x 73 cm,31.79
PROD00174,Professional Cable K947,"Professional Cable K947: Energy efficient, Water resistant, Noise cancelling, High performance",CAT004,Networking,SCAT016,Network Adapters,891.32,1392.34,SUPP0042,Limited Stock,2022-02-09,,6,1.49,90 x 39 x 35 cm,35.98
PROD00175,Smart Scanner K526,"Smart Scanner K526: Noise cancelling, Fast charging, Extended battery life, Bluetooth enabled",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,25.74,23.253654742520652,SUPP0022,Discontinued,2023-09-01,2025-03-18,12,0.43,15 x 61 x 69 cm,25.78
PROD00176,Standard Smartphone V553,"Standard Smartphone V553: Cloud storage, Water resistant, Noise cancelling",CAT006,Enterprise Solutions,SCAT023,Backup Systems,369.64,566.43,SUPP0045,Discontinued,2024-04-12,2025-01-09,38,16.32,,81.55874328093931
PROD00177,Digital Workstation W626,"Digital Workstation W626: High performance, Fast charging",CAT003,Accessories,SCAT010,Cables & Adapters,973.08,889.2214057477678,SUPP0010,Active,2024-05-27,,12,14.42,42 x 91 x 49 cm,-29.98
PROD00178,Lightweight Monitor Y104,"Lightweight Monitor Y104: Bluetooth enabled, Cloud storage, High performance",CAT006,Enterprise Solutions,SCAT025,Virtualization,970.31,1630.87,SUPP0017,Upcoming,2023-12-12,,50,11.6,78 x 73 x 90 cm,40.5
PROD00179,Essential Keyboard C769,"Essential Keyboard C769: AI-powered, Fast charging",CAT001,Computing Devices,SCAT005,Servers,141.31,210.82,SUPP0028,Discontinued,2023-07-30,2024-11-12,17,7.37,89 x 9 x 94 cm,32.97
PROD00180,Wireless Keyboard Z619,"Wireless Keyboard Z619: Water resistant, Extended battery life, AI-powered, Compact design",CAT006,Enterprise Solutions,SCAT025,Virtualization,953.83,1518.89,SUPP0038,Upcoming,2023-07-06,,45,19.0,61 x 74 x 43 cm,96.97480873662411
PROD00181,Lightweight Adapter Q409,"Lightweight Adapter Q409: Touch screen, Wireless connectivity, Biometric security",CAT005,Software,SCAT019,Office Applications,782.13,1138.58,SUPP0043,Discontinued,2023-05-11,2023-10-14,38,3.41,,31.31
PROD00182,Premium Power Bank F931,"Premium Power Bank F931: 4K resolution, Fast charging, Noise cancelling, High performance",CAT001,Computing Devices,SCAT003,Tablets,60.98,80.58,SUPP0008,Upcoming,2022-09-07,,49,2.65,22 x 34 x 21 cm,
PROD00183,Portable Cable V159,"Portable Cable V159: Extended battery life, 4K resolution, High performance",CAT001,Computing Devices,SCAT005,Servers,801.68,1289.18,SUPP0049,Limited Stock,2024-04-05,,28,13.97,52 x 49 x 65 cm,37.81
PROD00184,Portable Smartphone M367,"Portable Smartphone M367: Shock proof, 4K resolution, Noise cancelling, Voice control, Fast charging",CAT006,Enterprise Solutions,SCAT025,Virtualization,930.19,1561.35,SUPP0027,Limited Stock,2022-08-12,,47,0.14,26 x 60 x 99 cm,40.42
PROD00185,Professional Memory Card M934,"Professional Memory Card M934: AI-powered, Shock proof, Touch screen, Fast charging, Compact design",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,544.08,740.19,SUPP0050,Active,2024-03-14,,8,6.19,64 x 70 x 48 cm,26.49
PROD00186,Digital Webcam H411,"Digital Webcam H411: AI-powered, Voice control, Compact design",CAT006,Enterprise Solutions,SCAT025,Virtualization,530.96,736.65,SUPP0005,Limited Stock,2022-10-02,,18,7.05,39 x 27 x 73 cm,27.92
PROD00187,Digital Power Bank V925,"Digital Power Bank V925: AI-powered, Bluetooth enabled, Noise cancelling, Cloud storage, Wireless connectivity",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,91.36,126.69,SUPP0036,Limited Stock,2022-12-25,,24,19.5,92 x 91 x 92 cm,27.89
PROD00188,Wireless Smartphone Q356,"Wireless Smartphone Q356: Shock proof, 4K resolution, Wireless connectivity",CAT001,Computing Devices,SCAT005,Servers,885.17,1310.57,SUPP0044,Discontinued,2023-01-02,2024-06-13,41,19.63,22 x 21 x 19 cm,32.46
PROD00189,Smart Workstation G968,"Smart Workstation G968: Wireless connectivity, Extended battery life, High performance, Fast charging, AI-powered",CAT005,Software,SCAT019,Office Applications,412.95,629.64,SUPP0039,Active,2023-09-25,,15,0.82,95 x 36 x 82 cm,34.41
PROD00190,Digital Adapter P751,"Digital Adapter P751: Voice control, Fast charging, Water resistant, Noise cancelling",CAT005,Software,SCAT020,Security Software,594.75,802.9,SUPP0018,Upcoming,2023-07-26,,12,15.57,85 x 2 x 93 cm,25.92
PROD00191,Advanced Server J613,"Advanced Server J613: Extended battery life, Compact design, Cloud storage, Biometric security",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,147.71,215.11,SUPP0042,Active,2023-01-29,,7,14.45,95 x 52 x 99 cm,31.33
PROD00192,Ultra Workstation V651,"Ultra Workstation V651: Shock proof, Water resistant, 4K resolution",CAT001,Computing Devices,SCAT004,Smartphones,756.05,1025.51,SUPP0006,Active,2023-07-04,,50,14.12,10 x 18 x 75 cm,26.28
PROD00193,Standard Headphones J937,"Standard Headphones J937: AI-powered, Cloud storage",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,450.99,646.87,SUPP0028,Upcoming,2024-01-21,,33,9.94,51 x 80 x 3 cm,30.28
PROD00194,Standard Smartphone F268,"Standard Smartphone F268: High performance, Bluetooth enabled",CAT004,Networking,SCAT015,Switches,254.24,213.67925363939858,SUPP0027,Limited Stock,2024-07-03,,47,11.01,11 x 85 x 93 cm,26.71
PROD00195,Standard Adapter F645,"Standard Adapter F645: Wireless connectivity, Voice control, Bluetooth enabled, Noise cancelling, Fast charging",CAT005,Software,SCAT020,Security Software,583.05,979.76,SUPP0038,Active,2024-06-25,,28,9.6,46 x 14 x 78 cm,40.49
PROD00196,Smart Software License F636,"Smart Software License F636: 4K resolution, Cloud storage",CAT002,Peripherals,SCAT009,Input Devices,710.9,1125.44,SUPP0029,Limited Stock,2022-03-08,,25,10.74,,36.83
PROD00197,Lightweight Microphone S790,"Lightweight Microphone S790: Energy efficient, Compact design",CAT003,Accessories,SCAT013,Audio Accessories,120.34,95.30943199784926,SUPP0014,Discontinued,2022-12-08,2023-05-22,25,7.66,98 x 49 x 14 cm,31.06
PROD00198,Compact Mouse A553,"Compact Mouse A553: Noise cancelling, Shock proof, Touch screen, Fast charging",CAT001,Computing Devices,SCAT005,Servers,773.35,1286.42,SUPP0036,Active,2022-02-15,,35,13.4,82 x 26 x 31 cm,39.88
PROD00199,Ergonomic Cable B950,"Ergonomic Cable B950: Energy efficient, Water resistant, AI-powered, Biometric security",CAT004,Networking,SCAT015,Switches,463.82,617.85,SUPP0005,Active,2022-06-08,,29,11.42,99 x 80 x 55 cm,24.93
PROD00200,Lightweight Tablet Z507,"Lightweight Tablet Z507: 4K resolution, Biometric security",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,686.67,1137.53,SUPP0011,Limited Stock,2023-03-31,,23,6.93,7 x 24 x 97 cm,39.63
PROD00201,Deluxe Router W818,"Deluxe Router W818: Compact design, Cloud storage, Water resistant, Bluetooth enabled, Noise cancelling",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,345.57,519.1,SUPP0046,Upcoming,2023-09-29,,39,13.35,,33.43
PROD00202,Portable Workstation M557,"Portable Workstation M557: Wireless connectivity, Touch screen",CAT002,Peripherals,SCAT006,Monitors,539.83,855.94,SUPP0042,Active,2023-01-06,,42,11.83,73 x 83 x 45 cm,36.93
PROD00203,Essential Scanner A784,"Essential Scanner A784: Touch screen, Energy efficient, Wireless connectivity, Compact design",CAT005,Software,SCAT020,Security Software,224.71,331.47,SUPP0009,Limited Stock,2023-01-07,,26,18.63,75x82x40,32.21
PROD00204,Standard Microphone F465,"Standard Microphone F465: Shock proof, Fast charging, Water resistant, Compact design, Bluetooth enabled",CAT005,Software,SCAT020,Security Software,294.94,476.78,SUPP0012,Active,2023-12-12,,15,19.99,63 x 66 x 19 cm,38.14
PROD00205,Premium Scanner N342,"Premium Scanner N342: Wireless connectivity, Water resistant, Fast charging, Voice control",CAT001,Computing Devices,SCAT004,Smartphones,365.84,487.03,SUPP0039,Active,2023-08-24,,41,14.61,6 x 27 x 91 cm,24.88
PROD00206,Premium Software License R848,"Premium Software License R848: AI-powered, Voice control, Cloud storage",CAT001,Computing Devices,SCAT004,Smartphones,226.93,382.48,SUPP0022,Discontinued,2022-05-20,2023-05-04,25,9.82,84 x 80 x 97 cm,40.67
PROD00207,Professional Router K483,"Professional Router K483: Touch screen, Cloud storage, High performance",CAT003,Accessories,SCAT010,Cables & Adapters,587.81,777.24,SUPP0023,Discontinued,2022-02-16,2022-07-31,27,10.45,99 x 25 x 67 cm,24.37
PROD00208,Digital Desktop R506,"Digital Desktop R506: Energy efficient, Biometric security, Noise cancelling, AI-powered",CAT003,Accessories,SCAT011,Cases & Bags,957.33,1562.84,SUPP0003,Discontinued,2023-03-30,2024-10-23,33,3.27,45 x 77 x 23 cm,38.74
PROD00209,Compact Server G829,"Compact Server G829: Water resistant, Extended battery life, Touch screen, Shock proof, AI-powered",CAT005,Software,SCAT020,Security Software,68.44,91.05,SUPP0030,Limited Stock,2023-05-18,,36,7.91,81 x 38 x 19 cm,24.83
PROD00210,Wireless Power Bank E556,"Wireless Power Bank E556: Biometric security, Extended battery life, Cloud storage, Water resistant, Fast charging",CAT002,Peripherals,SCAT009,Input Devices,330.78,496.24,SUPP0015,Active,2023-10-20,,28,7.82,88 x 90 x 87 cm,33.34
PROD00211,Eco-friendly Software License I616,"Eco-friendly Software License I616: Compact design, Water resistant, Touch screen, Noise cancelling",CAT005,Software,SCAT019,Office Applications,498.56,806.99,SUPP0030,Active,2023-12-24,,9,6.47,30 x 25 x 31 cm,38.22
PROD00212,Portable Software License Z298,"Portable Software License Z298: Touch screen, Bluetooth enabled, Fast charging",CAT001,Computing Devices,SCAT002,Desktops,665.01,1103.86,SUPP0006,Upcoming,2022-09-13,,12,1.36,76 x 66 x 80 cm,39.76
PROD00213,Advanced Docking Station I643,"Advanced Docking Station I643: Cloud storage, Touch screen, High performance, Biometric security",CAT001,Computing Devices,SCAT001,Laptops,870.62,1348.7,SUPP0020,Active,2022-02-19,,44,18.87,97 x 95 x 18 cm,35.45
PROD00214,Eco-friendly Laptop P300,"Eco-friendly Laptop P300: Noise cancelling, Wireless connectivity, Fast charging, Shock proof, Bluetooth enabled",CAT006,Enterprise Solutions,SCAT025,Virtualization,846.44,1293.55,SUPP0010,Upcoming,2023-08-06,,20,7.92,80 x 75 x 14 cm,34.56
PROD00215,Premium Desktop H355,"Premium Desktop H355: Extended battery life, AI-powered, Bluetooth enabled, Water resistant",CAT002,Peripherals,SCAT006,Monitors,641.74,853.89,SUPP0004,Upcoming,2023-05-09,,12,1.01,40 x 95 x 80 cm,24.85
PROD00216,Ergonomic Tablet B855,"Ergonomic Tablet B855: Energy efficient, Shock proof, Cloud storage, Water resistant",CAT003,Accessories,SCAT013,Audio Accessories,742.89,1016.82,SUPP0012,Upcoming,2024-06-14,,30,0.45,9x43x74,26.94
PROD00217,Heavy-duty Tablet P606,"Heavy-duty Tablet P606: Biometric security, Bluetooth enabled, Voice control, Compact design",CAT006,Enterprise Solutions,SCAT025,Virtualization,484.76,767.95,SUPP0018,Upcoming,2023-03-28,,7,6.4,66x58x92,36.88
PROD00218,All-in-one Keyboard S633,"All-in-one Keyboard S633: Bluetooth enabled, High performance, Water resistant, Extended battery life, Voice control",CAT003,Accessories,SCAT010,Cables & Adapters,822.19,1168.56,SUPP0036,Limited Stock,2023-06-17,,47,2.93,19 x 12 x 7 cm,29.64
